Ta-181(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
144.397 17.3800
144.428 15.3712
144.491 13.0907
144.555 11.8738
144.618 11.1388
144.744 10.3102
144.870 9.85862
144.997 9.57207
145.249 9.21633
145.754 8.81484
146.259 8.54233
146.764 8.31761
147.017 8.22561
147.269 8.17068
147.522 8.23077
147.648 8.38445
147.774 8.76126
147.901 9.72606
147.964 10.7599
148.027 12.6850
148.090 16.7213
148.122 20.5314
148.153 26.9181
148.185 38.7227
148.201 48.6304
148.216 63.4080
148.232 86.8866
148.248 126.288
148.256 156.200
148.264 196.744
148.272 252.124
148.279 326.086
148.287 420.598
148.295 528.862
148.310 674.201
148.318 641.912
148.325 553.546
148.341 356.958
148.351 261.562
148.361 196.306
148.372 151.826
148.382 120.886
148.403 82.5520
148.424 61.0213
148.445 47.7244
148.465 39.0008
148.507 28.6439
148.548 22.9188
148.590 19.4231
148.673 15.5142
148.756 13.4803
148.839 12.3008
149.005 11.1684
149.171 11.0877
149.254 11.5567
149.337 12.7246
149.421 15.5224
149.462 18.3323
149.504 23.2703
149.545 32.8964
149.566 41.3895
149.587 54.7034
149.607 77.2444
149.628 118.449
149.639 152.741
149.649 203.073
149.659 278.610
149.670 390.600
149.685 631.712
149.700 802.950
149.715 657.464
149.730 422.796
149.740 313.131
149.750 237.589
149.770 148.208
