24-Cr_n-tot
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.864720e+04 2.86495061e+00
1.864950e+04 2.74799547e+00
1.865400e+04 2.61362206e+00
1.865850e+04 2.54205060e+00
1.866140e+04 2.51451970e+00
1.866300e+04 2.49933008e+00
1.866760e+04 2.47156558e+00
1.867210e+04 2.45239969e+00
1.868120e+04 2.42775632e+00
1.869020e+04 2.41264227e+00
1.869930e+04 2.40219764e+00
1.870830e+04 2.39437327e+00
1.872640e+04 2.38277087e+00
1.874450e+04 2.37390716e+00
1.874520e+04 2.37362965e+00
1.877270e+04 2.36017021e+00
1.878070e+04 2.35625353e+00
1.881690e+04 2.34037850e+00
1.885310e+04 2.32525560e+00
1.892560e+04 2.29591666e+00
1.893550e+04 2.29198938e+00
1.897150e+04 2.27770960e+00
1.899800e+04 2.26470390e+00
1.906510e+04 2.23220537e+00
1.907040e+04 2.22963782e+00
1.907260e+04 2.22859613e+00
1.908470e+04 2.22286947e+00
1.910660e+04 2.21030030e+00
1.912470e+04 2.20019537e+00
1.914120e+04 2.19140237e+00
1.914280e+04 2.19055296e+00
1.916090e+04 2.18208499e+00
1.917000e+04 2.17887009e+00
1.917540e+04 2.17799366e+00
1.917900e+04 2.17747600e+00
1.918360e+04 2.17804315e+00
1.918810e+04 2.18027313e+00
1.919260e+04 2.18540778e+00
1.919720e+04 2.19697599e+00
1.919790e+04 2.20088634e+00
1.920110e+04 2.21831040e+00
1.920170e+04 2.22188738e+00
1.920330e+04 2.23992476e+00
1.920390e+04 2.24746624e+00
1.920540e+04 2.27647979e+00
1.920620e+04 2.29435814e+00
1.920650e+04 2.30575431e+00
1.920760e+04 2.35618959e+00
1.920810e+04 2.39016445e+00
1.920850e+04 2.43506896e+00
1.920860e+04 2.44891421e+00
1.920890e+04 2.50989388e+00
1.920920e+04 2.61237806e+00
1.920930e+04 2.69714701e+00
1.920940e+04 2.81835389e+00
1.920960e+04 3.01634540e+00
1.920970e+04 3.33570294e+00
1.920990e+04 3.91421162e+00
1.921000e+04 4.27397558e+00
1.921020e+04 3.94678662e+00
1.921030e+04 3.39746152e+00
1.921040e+04 3.17482186e+00
1.921050e+04 3.00763727e+00
1.921070e+04 2.82797139e+00
1.921090e+04 2.74774241e+00
1.921110e+04 2.71738491e+00
