I-127(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
392.498 9.36787
392.709 9.29385
392.814 9.37240
392.919 9.68725
392.972 10.0698
393.024 10.8245
393.077 12.4709
393.103 14.0068
393.130 16.3891
393.165 21.0610
393.200 24.1550
393.235 20.9854
393.270 16.2655
393.297 13.8288
393.323 12.2485
393.349 11.2097
393.376 10.5103
393.428 9.66126
393.481 9.18579
393.586 8.68171
393.692 8.41243
393.902 8.09938
394.113 7.89118
394.955 7.32278
396.640 6.56997
398.325 6.04943
400.010 5.65879
403.380 5.09132
406.750 4.66876
410.120 4.30277
413.490 3.93319
415.175 3.72747
416.017 3.61661
416.860 3.50367
417.702 3.40775
418.123 3.39017
418.545 3.44013
418.966 3.69112
419.177 4.02149
419.387 4.70548
419.598 6.27894
419.703 7.86797
419.808 10.6989
419.914 16.3145
419.966 21.3660
420.019 29.4542
420.045 35.4423
420.072 43.4374
