W-184(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1665.81 0.0781024
1667.94 0.0567740
1670.07 0.0438301
1672.19 0.0353972
1676.45 0.0254500
1680.70 0.0200626
1689.22 0.0148310
1697.73 0.0126565
1706.24 0.0118243
1723.26 0.0124601
1740.28 0.0164673
1748.79 0.0209990
1757.31 0.0295197
1761.56 0.0367723
1765.82 0.0478827
1770.07 0.0661056
1774.33 0.0990296
1776.46 0.126495
1778.58 0.168002
1780.71 0.235026
1781.78 0.285183
1782.31 0.316637
1782.84 0.353615
1783.11 0.374659
1783.37 0.397663
1783.90 0.450598
1784.44 0.514975
1784.70 0.552512
1784.97 0.594338
1785.50 0.693706
1786.03 0.820388
1786.56 0.985338
1787.10 1.20557
1787.63 1.50864
1788.16 1.94146
1788.69 2.58901
1789.22 3.61738
1789.76 5.38420
1790.02 6.77745
1790.29 8.75959
1790.55 11.6862
1790.82 16.1851
1791.09 23.3608
1791.35 34.8633
1791.68 55.9104
1792.00 70.0351
1792.33 55.9771
1792.65 34.9105
1792.90 23.9398
1793.15 16.9370
1793.40 12.4076
1793.64 9.41117
1794.14 5.87294
1794.64 3.98300
1795.14 2.86854
1795.63 2.16047
1796.63 1.34954
1797.62 0.921185
1798.61 0.668571
1799.61 0.507408
1800.60 0.398504
1802.59 0.264834
1804.58 0.189203
1806.56 0.142278
1808.55 0.111215
1812.53 0.0739339
1816.50 0.0532934
1820.48 0.0407038
1824.45 0.0324831
1832.40 0.0228072
1840.35 0.0176359
1856.25 0.0129457
1872.15 0.0118669
1888.05 0.0142253
1896.00 0.0186793
1899.97 0.0233025
1903.94 0.0318457
1907.92 0.0502112
1909.91 0.0685289
1911.89 0.101885
1912.89 0.129970
1913.88 0.172805
1914.88 0.242871
1915.87 0.369119
1916.37 0.474393
1916.86 0.633379
1917.36 0.889905
1917.61 1.08128
1917.86 1.34233
1918.11 1.71314
1918.35 2.25981
1918.48 2.64045
1918.60 3.12156
1918.73 3.74694
1918.85 4.58014
1918.98 5.73461
1919.10 7.36718
1919.22 9.79974
1919.35 13.6411
1919.47 20.1870
1919.53 25.3067
