Sb-123(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
359.313 4.35573
362.056 4.31359
364.800 4.28004
367.543 4.24814
368.915 4.23095
369.601 4.22171
370.287 4.21218
370.973 4.20373
371.316 4.20180
371.659 4.20532
371.830 4.21196
372.002 4.22568
372.173 4.25351
372.345 4.31239
372.430 4.36605
372.516 4.45112
372.602 4.59377
372.687 4.85216
372.773 5.37715
372.816 5.85947
372.859 6.64816
372.902 8.05389
372.945 10.8412
372.966 13.3519
372.988 17.3067
373.009 23.8294
373.030 34.7507
373.055 54.3333
373.080 68.3432
373.105 56.7315
373.130 37.8523
373.150 27.0694
373.171 20.2984
373.192 16.0144
373.212 13.2036
373.253 9.92209
373.294 8.17742
373.336 7.14094
373.377 6.47823
373.459 5.70509
373.541 5.28614
373.624 5.03182
373.706 4.86465
373.788 4.74813
373.953 4.59895
374.117 4.50917
374.282 4.45000
374.447 4.40834
374.776 4.35377
375.105 4.31952
375.764 4.27800
376.422 4.25247
377.080 4.23397
378.397 4.20614
381.031 4.16111
383.665 4.11344
384.982 4.08488
386.299 4.05079
387.615 4.00849
388.932 3.95413
389.591 3.92097
390.249 3.88345
390.908 3.84300
391.566 3.80740
391.895 3.79966
392.225 3.81152
392.554 3.86930
392.883 4.04217
393.048 4.22607
393.212 4.54561
393.377 5.12760
393.541 6.27113
393.624 7.26842
393.706 8.80747
393.788 11.3157
393.871 15.7170
393.953 24.2939
393.994 31.8899
394.035 43.8642
394.076 64.1590
394.097 79.8306
394.117 101.494
394.138 132.589
394.159 178.312
394.179 247.075
394.200 349.883
394.230 572.225
394.260 732.013
394.290 601.074
394.320 386.931
394.340 287.273
394.359 217.873
394.398 135.282
394.436 92.0200
394.475 67.1479
394.514 51.6389
394.552 41.3941
394.629 29.0871
394.707 22.2293
394.784 18.0087
394.938 13.2503
395.093 10.7356
395.247 9.22844
395.402 8.24250
395.556 7.55704
395.865 6.67870
396.174 6.14926
396.483 5.79971
396.792 5.55365
397.410 5.23283
398.027 5.03456
398.645 4.90057
399.263 4.80418
400.499 4.67492
401.734 4.59214
402.970 4.53439
404.206 4.49165
406.677 4.43226
409.148 4.39328
410.384 4.37951
411.620 4.37170
412.238 4.37374
412.855 4.39097
413.164 4.41933
413.319 4.44824
413.473 4.50042
413.628 4.60758
413.705 4.70849
413.782 4.88039
413.859 5.20839
413.898 5.49552
413.937 5.94922
413.975 6.72270
414.014 8.18217
414.033 9.43104
414.052 11.3257
414.072 14.2955
414.091 18.9795
414.116 27.7849
414.140 33.6242
414.165 27.7480
414.189 18.9808
414.215 13.0906
414.241 9.90825
414.267 8.12395
414.294 7.05456
414.320 6.37256
414.346 5.91434
414.398 5.35954
414.450 5.05093
414.502 4.86239
414.607 4.65390
414.711 4.54730
414.816 4.48547
415.024 4.41988
415.233 4.38719
415.442 4.36820
415.859 4.34732
416.695 4.32828
417.530 4.31796
419.200 4.30415
420.870 4.29355
424.211 4.27717
425.046 4.27471
425.881 4.27516
426.299 4.27916
426.716 4.29337
426.925 4.31368
427.134 4.36819
427.238 4.43681
427.342 4.60165
427.395 4.78630
427.447 5.16675
427.473 5.52432
427.499 6.12206
427.525 7.19078
427.551 9.16445
427.576 12.1162
427.600 14.0745
427.625 12.1039
427.649 9.16500
427.670 7.47042
427.691 6.44594
427.713 5.81796
427.734 5.41643
427.776 4.96115
427.818 4.72705
427.903 4.50727
427.988 4.41159
428.157 4.33231
428.327 4.30085
428.666 4.27581
429.004 4.26566
429.682 4.25641
430.360 4.25136
433.070 4.23858
438.492 4.21832
443.913 4.19910
449.334 4.17918
454.755 4.15657
457.466 4.14317
460.177 4.12721
462.887 4.10681
464.243 4.09378
465.598 4.07765
466.953 4.05674
467.631 4.04378
468.309 4.02907
468.986 4.01477
469.325 4.01117
469.664 4.01745
469.834 4.02990
470.003 4.05617
470.172 4.11041
470.342 4.22711
470.426 4.33436
470.511 4.50563
470.596 4.79435
470.681 5.31965
470.765 6.38817
470.808 7.37098
470.850 8.97618
470.892 11.8285
470.935 17.4473
470.956 22.4548
470.977 30.3126
470.998 43.1384
471.019 64.2112
471.032 82.1862
471.045 103.118
471.070 131.230
471.095 108.564
471.121 71.2225
471.141 50.5584
471.161 37.2832
471.181 28.7206
471.201 23.0410
471.241 16.2691
471.281 12.6153
471.322 10.4229
471.362 9.01102
471.442 7.35335
471.522 6.44706
471.602 5.89465
471.683 5.52965
471.763 5.27480
471.923 4.94734
472.084 4.74984
472.244 4.61961
472.405 4.52802
472.726 4.40846
473.047 4.33402
473.689 4.24516
474.331 4.19158
474.973 4.15311
476.257 4.09346
476.899 4.06605
477.541 4.03806
478.183 4.00893
478.825 3.98058
479.146 3.96955
479.467 3.96551
479.788 3.97889
480.109 4.03785
480.270 4.10692
480.430 4.23201
480.591 4.46680
480.751 4.93904
480.832 5.35698
480.912 6.00703
480.992 7.07730
481.072 8.97036
481.153 12.7029
481.193 16.0288
481.233 21.3240
481.273 30.3918
481.313 47.3105
481.333 61.5944
481.353 82.7334
481.373 115.140
481.393 164.417
481.422 268.101
481.450 343.020
481.478 282.427
481.507 182.804
481.524 137.550
481.542 105.531
481.577 67.0474
481.613 46.5645
481.648 34.7197
481.684 27.2825
481.719 22.3467
481.789 16.3872
481.860 13.0488
481.931 10.9869
482.072 8.65235
482.213 7.41398
482.355 6.66971
482.496 6.18191
482.637 5.84180
482.920 5.40489
483.203 5.14057
483.485 4.96545
483.768 4.84177
484.333 4.67977
484.898 4.57901
485.464 4.51056
486.029 4.46116
487.160 4.39515
488.290 4.35578
488.855 4.34547
489.421 4.34919
489.703 4.36712
489.845 4.38769
489.986 4.42637
490.127 4.50737
490.198 4.58410
490.268 4.71437
490.339 4.96102
490.374 5.17473
490.410 5.50853
490.445 6.07007
490.480 7.10006
490.498 7.96083
490.516 9.22545
490.533 11.1536
490.551 14.0631
490.576 19.9338
490.600 23.8510
490.625 19.9333
490.649 14.0618
490.667 11.0588
490.686 9.11074
490.704 7.84302
490.722 6.99798
490.759 5.98787
490.795 5.44508
490.832 5.12210
490.868 4.91647
490.941 4.67925
491.014 4.55288
491.087 4.47778
491.234 4.39610
491.380 4.35446
491.526 4.32990
491.818 4.30251
492.402 4.27721
492.987 4.26359
494.156 4.24594
495.325 4.23301
497.662 4.21294
500.000 4.19692
504.925 4.16956
