Si-29(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2.13000E+06 3.08879
2.13214E+06 2.94514
2.13428E+06 2.85517
2.13643E+06 2.75385
2.13858E+06 2.73877
2.14073E+06 2.65518
2.14288E+06 2.60675
2.14504E+06 2.58613
2.14720E+06 2.61730
2.14936E+06 2.65866
2.15153E+06 2.57820
2.15370E+06 2.49917
2.15588E+06 2.49115
2.15805E+06 2.50580
2.16023E+06 2.48766
2.16242E+06 2.43373
2.16461E+06 2.44862
2.16636E+06 2.44671
2.16767E+06 2.56079
2.16899E+06 2.72024
2.17031E+06 2.90704
2.17163E+06 3.13339
2.17295E+06 3.15846
2.17427E+06 3.02326
2.17559E+06 2.99094
2.17692E+06 2.89987
2.17824E+06 2.85694
2.17957E+06 2.65506
2.18134E+06 2.65603
2.18356E+06 2.58442
2.18578E+06 2.50892
2.18800E+06 2.45584
2.19022E+06 2.38152
2.19245E+06 2.37418
2.19469E+06 2.37869
2.19692E+06 2.37499
2.19916E+06 2.34324
2.20141E+06 2.31313
2.20365E+06 2.30510
2.20590E+06 2.30583
2.20816E+06 2.35604
2.21042E+06 2.29734
2.21268E+06 2.31751
2.21494E+06 2.40425
2.21721E+06 2.51346
2.21903E+06 2.59431
2.22039E+06 2.66653
2.22175E+06 2.83981
2.22312E+06 3.00921
2.22449E+06 3.20703
2.22586E+06 3.55629
2.22723E+06 3.74189
2.22860E+06 3.74720
2.22997E+06 3.60371
2.23135E+06 3.38102
2.23272E+06 3.04562
2.23410E+06 2.84281
2.23548E+06 2.65227
2.23686E+06 2.40576
2.23824E+06 2.33592
2.24008E+06 2.24630
2.24239E+06 2.12264
2.24470E+06 2.06955
2.24701E+06 2.01482
2.24933E+06 1.98565
2.25000E+06 1.99497
2.25165E+06 2.01792
2.25397E+06 1.94048
2.25630E+06 1.93870
2.25863E+06 1.93197
2.26097E+06 1.93533
2.26330E+06 1.91517
2.26565E+06 2.00785
2.26799E+06 2.06498
2.27034E+06 2.21972
2.27270E+06 2.43813
2.27505E+06 2.58384
2.27741E+06 2.72593
2.27978E+06 2.93533
2.28215E+06 3.28498
2.28452E+06 3.24912
2.28689E+06 3.56984
2.28927E+06 3.69337
2.29166E+06 3.75141
2.29404E+06 3.60809
2.29643E+06 3.37142
2.29883E+06 3.22807
2.30123E+06 3.15252
2.30363E+06 3.08515
2.30603E+06 2.96771
2.30844E+06 2.91346
2.31086E+06 2.80908
2.31327E+06 2.72462
2.31569E+06 2.58407
2.31812E+06 2.52434
2.32055E+06 2.49669
2.32298E+06 2.45859
2.32541E+06 2.42793
2.32785E+06 2.37207
2.33030E+06 2.41019
2.33274E+06 2.36406
2.33519E+06 2.22799
2.33740E+06 2.29729
2.33937E+06 2.33725
2.34134E+06 2.27771
2.34331E+06 2.36631
2.34529E+06 2.31964
2.34726E+06 2.30177
2.34924E+06 2.42410
2.35122E+06 2.36753
2.35321E+06 2.36630
2.35519E+06 2.36321
2.35718E+06 2.37834
2.35917E+06 2.41528
2.36117E+06 2.42608
2.36316E+06 2.41434
2.36516E+06 2.48093
2.36667E+06 2.59058
2.36767E+06 2.60555
2.36867E+06 2.66536
2.36967E+06 2.86014
2.37068E+06 3.04877
2.37168E+06 3.40219
2.37268E+06 3.78013
2.37369E+06 4.00317
2.37470E+06 4.02558
2.37570E+06 3.77648
2.37671E+06 3.39898
2.37772E+06 3.13076
2.37873E+06 2.84435
2.37974E+06 2.73168
2.38075E+06 2.62249
2.38176E+06 2.53579
2.38327E+06 2.45070
2.38530E+06 2.35439
2.38732E+06 2.30167
2.38935E+06 2.30780
2.39139E+06 2.29109
2.39342E+06 2.14934
2.39546E+06 2.14579
2.39750E+06 2.15733
2.39954E+06 2.17981
2.40159E+06 2.14196
2.40364E+06 2.22361
2.40569E+06 2.13401
2.40774E+06 2.18030
2.40980E+06 2.06279
2.41186E+06 2.07700
2.41392E+06 2.10232
2.41598E+06 2.07756
2.41805E+06 2.06665
2.42012E+06 2.03105
2.42219E+06 2.03796
2.42427E+06 2.09252
2.42634E+06 2.07728
2.42842E+06 2.06920
2.43051E+06 2.11629
2.43259E+06 2.08264
2.43468E+06 1.96304
2.43677E+06 1.93478
2.43886E+06 1.81067
2.44096E+06 1.66226
2.44306E+06 1.63010
2.44516E+06 1.78229
2.44726E+06 1.99507
2.44937E+06 2.41969
2.45148E+06 2.63406
2.45359E+06 3.01108
2.45571E+06 3.30722
2.45783E+06 3.49188
2.45995E+06 3.61698
2.46207E+06 3.59717
2.46420E+06 3.47181
2.46633E+06 3.34807
2.46846E+06 3.19563
2.47059E+06 3.07668
2.47273E+06 3.10767
2.47487E+06 2.97459
2.47701E+06 3.00430
2.47916E+06 3.08516
2.48131E+06 3.13522
2.48346E+06 3.22997
2.48561E+06 3.29644
2.48723E+06 3.38487
2.48831E+06 3.46664
2.48939E+06 3.53094
2.49047E+06 3.67975
2.49155E+06 3.91316
2.49263E+06 4.16792
2.49372E+06 4.31837
2.49480E+06 4.60322
2.49588E+06 5.00171
2.49697E+06 5.17554
2.49805E+06 5.38484
2.49914E+06 5.19195
2.50000E+06 5.13466
2.50023E+06 5.11934
2.50131E+06 4.75818
2.50240E+06 4.39174
2.50349E+06 4.18345
2.50458E+06 3.99736
2.50594E+06 3.80597
2.50758E+06 3.63398
2.50922E+06 3.58345
2.51040E+06 3.53141
2.51045E+06 3.52927
2.51086E+06 3.51111
2.51250E+06 3.33309
2.51415E+06 3.27013
2.51579E+06 3.30985
2.51744E+06 3.24191
2.51909E+06 3.09730
2.52074E+06 3.13427
2.52294E+06 2.99833
2.52570E+06 3.01966
2.52846E+06 2.97697
2.53123E+06 2.98247
2.53400E+06 3.07467
2.53677E+06 2.93693
2.53955E+06 2.98246
2.54234E+06 2.92722
2.54513E+06 2.95703
2.54792E+06 3.09257
2.55072E+06 3.02094
2.55353E+06 2.99494
2.55633E+06 3.04447
2.55915E+06 3.05156
2.56196E+06 3.02409
2.56478E+06 3.05012
2.56761E+06 3.05234
2.57044E+06 3.16078
2.57328E+06 3.00365
2.57612E+06 2.96369
2.57896E+06 2.95242
