19-K_n-g
>   19-K-39:0.932690
>   19-K-41:0.067310
1.034900e+04 1.10297418e-01
1.034930e+04 3.25005482e-01
1.034950e+04 7.77424547e-01
1.034960e+04 1.48580176e+00
1.034970e+04 4.39063251e+00
1.034980e+04 6.07764977e+00
1.034990e+04 2.64717818e+00
1.035000e+04 1.17508537e+00
1.035010e+04 5.79122500e-01
1.035030e+04 2.21774403e-01
1.035080e+04 7.13693511e-02
1.035160e+04 2.15611773e-02
1.035340e+04 7.17310131e-03
1.035690e+04 3.29633435e-03
1.036400e+04 2.28610305e-03
1.037810e+04 2.01184190e-03
1.040630e+04 1.91090828e-03
1.046270e+04 1.82956325e-03
1.046540e+04 1.82696243e-03
1.057560e+04 1.72208540e-03
1.069800e+04 1.64561588e-03
1.080130e+04 1.58936867e-03
1.081440e+04 1.58609160e-03
1.087260e+04 1.60830917e-03
1.090160e+04 1.76466848e-03
1.090890e+04 1.93256205e-03
1.091620e+04 2.40948267e-03
1.091980e+04 3.06765884e-03
1.092340e+04 4.88806790e-03
1.092530e+04 7.34522482e-03
1.092710e+04 1.39590090e-02
1.092800e+04 2.25314248e-02
1.092850e+04 3.06893471e-02
1.092890e+04 4.42753062e-02
1.092940e+04 7.08191902e-02
1.092960e+04 9.43143075e-02
1.092980e+04 1.29773082e-01
1.093000e+04 1.93050355e-01
1.093030e+04 3.07080586e-01
1.093040e+04 4.14337492e-01
1.093050e+04 5.64992441e-01
1.093060e+04 7.99548475e-01
1.093070e+04 1.19260446e+00
1.093090e+04 1.91997510e+00
1.093100e+04 2.38884892e+00
1.093110e+04 1.92206163e+00
1.093130e+04 1.19424662e+00
1.093140e+04 7.25588114e-01
1.093160e+04 4.75458492e-01
1.093170e+04 3.30141149e-01
1.093190e+04 2.40744143e-01
1.093200e+04 1.79295578e-01
1.093210e+04 1.40698716e-01
1.093240e+04 9.31206290e-02
1.093270e+04 6.54485627e-02
1.093300e+04 4.90592470e-02
1.093360e+04 3.04782202e-02
1.093410e+04 2.09731562e-02
1.093470e+04 1.54765633e-02
1.093580e+04 9.73432216e-03
1.093810e+04 5.33381363e-03
1.094040e+04 3.71493953e-03
1.094490e+04 2.52020105e-03
1.094950e+04 2.09052662e-03
1.096760e+04 1.66355107e-03
1.100390e+04 1.54407841e-03
1.107660e+04 1.49289178e-03
1.114920e+04 1.46656623e-03
1.118560e+04 1.46654620e-03
1.120370e+04 1.51253022e-03
1.121280e+04 1.71035516e-03
1.121510e+04 1.90889616e-03
1.121730e+04 2.44553149e-03
1.121850e+04 3.14771933e-03
1.121960e+04 4.91952859e-03
1.122020e+04 7.07781862e-03
1.122070e+04 1.20361593e-02
1.122100e+04 1.74388195e-02
1.122130e+04 2.75109004e-02
1.122150e+04 3.62568087e-02
1.122160e+04 4.97214423e-02
1.122170e+04 7.12385582e-02
1.122190e+04 1.06276646e-01
1.122200e+04 1.68929317e-01
1.122220e+04 2.11116387e-01
1.122240e+04 1.69144573e-01
1.122250e+04 1.06446064e-01
1.122270e+04 7.53690268e-02
1.122280e+04 5.35782959e-02
1.122290e+04 3.95585574e-02
1.122310e+04 3.02672364e-02
1.122330e+04 1.93594015e-02
1.122360e+04 1.35565830e-02
1.122410e+04 7.98300129e-03
1.122460e+04 5.51075576e-03
1.122570e+04 3.44324338e-03
1.122670e+04 2.62997668e-03
1.122880e+04 1.99272662e-03
1.123080e+04 1.75616167e-03
1.123910e+04 1.51385623e-03
1.125280e+04 1.45721321e-03
1.125570e+04 1.44573870e-03
1.128890e+04 1.42397197e-03
1.135520e+04 1.40879070e-03
1.148790e+04 1.38602013e-03
1.170430e+04 1.35107356e-03
1.175320e+04 1.35016373e-03
1.193000e+04 1.34791492e-03
1.204290e+04 1.40249248e-03
1.207110e+04 1.46055377e-03
1.209930e+04 1.62409300e-03
1.212750e+04 2.49130029e-03
1.214160e+04 5.88546758e-03
1.214870e+04 1.89367666e-02
1.215220e+04 6.74328466e-02
1.215310e+04 1.13836517e-01
1.215400e+04 2.33577145e-01
1.215440e+04 3.80687562e-01
1.215480e+04 7.25564661e-01
1.215510e+04 1.10195269e+00
1.215530e+04 1.85313200e+00
1.215540e+04 2.53555338e+00
1.215550e+04 3.63646350e+00
1.215560e+04 5.51104007e+00
1.215570e+04 8.82609125e+00
1.215580e+04 1.43837399e+01
