Rb-85(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
2075.36 0.380965
2076.63 0.575646
2077.26 0.736354
2077.90 0.976647
2078.53 1.35907
2079.16 2.02051
2079.80 3.31944
2080.11 4.49502
2080.43 6.41870
2080.59 7.87829
2080.75 9.87303
2080.91 12.7324
2081.07 16.9539
2081.22 23.6000
2081.38 34.5777
2081.46 42.8515
2081.54 54.0119
2081.62 69.1818
2081.70 89.6272
2081.85 143.330
2082.00 179.097
2082.15 143.310
2082.30 89.6063
2082.46 54.6566
2082.61 35.3907
2082.76 24.2902
2082.92 17.5855
2083.07 13.2367
2083.22 10.3124
2083.53 6.73171
2083.84 4.72648
2084.14 3.49645
2084.76 2.13417
2085.37 1.43595
2085.99 1.03229
2086.60 0.778286
2087.21 0.608446
2088.44 0.401936
2089.67 0.286272
2090.89 0.214997
2092.12 0.167994
2094.58 0.111796
2097.03 0.0807700
2099.49 0.0618510
2101.94 0.0494760
2106.85 0.0348105
2111.76 0.0268236
2121.58 0.0190642
2131.40 0.0160898
2141.22 0.0162738
2146.13 0.0186022
2151.04 0.0264120
2153.49 0.0376051
2154.72 0.0488091
2155.95 0.0691727
2157.17 0.112232
2157.79 0.154450
2158.40 0.229749
2159.01 0.385005
2159.32 0.533138
2159.63 0.788910
2159.93 1.29208
2160.09 1.74958
2160.24 2.49372
2160.40 3.84034
2160.47 4.95379
2160.55 6.58589
2160.63 9.17217
2160.70 13.4126
2160.78 21.0332
2160.85 34.8402
2160.93 55.7751
2161.00 69.7473
2161.07 55.7760
2161.15 34.8418
2161.20 24.7004
2161.25 18.0391
2161.30 13.4869
2161.35 10.4298
2161.45 6.66691
2161.55 4.59280
2161.65 3.34416
2161.75 2.53930
2161.95 1.60393
2162.16 1.10390
2162.36 0.806434
2162.76 0.485754
2163.17 0.325941
2163.57 0.235035
2164.38 0.140896
2165.19 0.0956775
2165.99 0.0705432
2167.61 0.0450488
2170.84 0.0264735
2174.07 0.0199522
2180.54 0.0155966
2187.00 0.0147820
2193.46 0.0158376
2199.93 0.0203465
2203.16 0.0268191
2206.39 0.0449895
2208.01 0.0698101
2208.82 0.0942519
2209.62 0.138208
2210.43 0.229713
2210.84 0.318091
2211.24 0.473500
2211.64 0.785483
2211.85 1.07502
2212.05 1.56195
2212.25 2.47346
2212.35 3.25833
2212.45 4.47674
2212.55 6.50236
2212.65 10.1814
2212.70 13.2448
2212.75 17.6310
2212.80 24.1578
2212.85 33.8593
2212.93 54.2228
2213.00 67.8215
2213.07 54.2237
2213.15 33.8608
2213.20 23.3819
2213.26 16.7118
2213.31 12.3548
2213.36 9.42783
2213.47 5.91635
