74-W_n-g
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
7.403240e+01 1.54031268e-01
7.403490e+01 1.54107572e-01
7.405660e+01 1.54824489e-01
7.408090e+01 1.55676902e-01
7.410510e+01 1.56587458e-01
7.412940e+01 1.57560399e-01
7.415360e+01 1.58602167e-01
7.417780e+01 1.59719325e-01
7.420210e+01 1.60919517e-01
7.422630e+01 1.62210265e-01
7.427480e+01 1.65103486e-01
7.432330e+01 1.68490104e-01
7.437180e+01 1.72488367e-01
7.442030e+01 1.77254697e-01
7.446870e+01 1.82995616e-01
7.451720e+01 1.89997240e-01
7.456570e+01 1.98651926e-01
7.461420e+01 2.09525699e-01
7.466270e+01 2.23437167e-01
7.471120e+01 2.41629667e-01
7.475960e+01 2.66045736e-01
7.480810e+01 2.99870650e-01
7.485660e+01 3.48564711e-01
7.490510e+01 4.22207152e-01
7.495360e+01 5.40920420e-01
7.500000e+01 7.40416305e-01
7.500210e+01 7.49448098e-01
7.502630e+01 9.17548675e-01
7.505050e+01 1.16179211e+00
7.507480e+01 1.53254224e+00
7.509900e+01 2.12395855e+00
7.512330e+01 3.11476270e+00
7.514750e+01 4.80760758e+00
7.517380e+01 7.60984227e+00
7.520000e+01 9.47611047e+00
7.522630e+01 7.60588418e+00
7.525250e+01 4.80336487e+00
7.527620e+01 3.14207960e+00
7.529980e+01 2.15780504e+00
7.532350e+01 1.56416683e+00
7.534710e+01 1.18918758e+00
7.539440e+01 7.69101942e-01
7.544170e+01 5.55229987e-01
