33-As_n-tot
>  33-As-75:1.000000
9.339910e+02 4.16120000e+01
9.350910e+02 3.24049000e+01
9.361910e+02 2.67123000e+01
9.372910e+02 2.29001000e+01
9.383910e+02 2.01947000e+01
9.405920e+02 1.66463000e+01
9.427920e+02 1.44448000e+01
9.449920e+02 1.29552000e+01
9.471930e+02 1.18832000e+01
9.515930e+02 1.04439000e+01
9.559940e+02 9.51910000e+00
9.603940e+02 8.87044000e+00
9.647950e+02 8.38649000e+00
9.735960e+02 7.70257000e+00
9.823980e+02 7.23123000e+00
1.000000e+03 6.59513000e+00
1.027440e+03 5.95633000e+00
1.054870e+03 5.47975000e+00
1.068590e+03 5.25677000e+00
1.082310e+03 5.01455000e+00
1.089170e+03 4.86867000e+00
1.092600e+03 4.78201000e+00
1.096030e+03 4.68022000e+00
1.097740e+03 4.62159000e+00
1.099460e+03 4.55693000e+00
1.101170e+03 4.48712000e+00
1.102890e+03 4.41927000e+00
1.103740e+03 4.39405000e+00
1.104600e+03 4.38743000e+00
1.105460e+03 4.42565000e+00
1.106320e+03 4.57696000e+00
1.106750e+03 4.74821000e+00
1.107170e+03 5.05096000e+00
1.107600e+03 5.60385000e+00
1.108030e+03 6.67389000e+00
1.108460e+03 8.97616000e+00
1.108670e+03 1.11567000e+01
1.108890e+03 1.48026000e+01
1.109100e+03 2.14377000e+01
1.109210e+03 2.68499000e+01
1.109320e+03 3.47612000e+01
1.109420e+03 4.67797000e+01
1.109530e+03 6.58326000e+01
1.109640e+03 9.72788000e+01
1.109750e+03 1.49928000e+02
1.109870e+03 2.48343000e+02
1.110000e+03 3.22392000e+02
1.110130e+03 2.69500000e+02
1.110260e+03 1.77376000e+02
1.110350e+03 1.29339000e+02
1.110440e+03 9.72156000e+01
1.110530e+03 7.53134000e+01
1.110620e+03 6.03632000e+01
1.110800e+03 4.18351000e+01
1.110990e+03 3.14622000e+01
1.111170e+03 2.50386000e+01
1.111350e+03 2.08243000e+01
1.111720e+03 1.57453000e+01
1.112080e+03 1.28950000e+01
1.112450e+03 1.11265000e+01
1.112810e+03 9.94001000e+00
1.113180e+03 9.09862000e+00
1.113910e+03 7.99809000e+00
1.114640e+03 7.32145000e+00
1.115370e+03 6.86677000e+00
1.116100e+03 6.54261000e+00
1.117560e+03 6.11158000e+00
1.119020e+03 5.83782000e+00
1.120480e+03 5.64729000e+00
1.121940e+03 5.50573000e+00
1.124870e+03 5.30561000e+00
